full_name,first_name,last_name,height
Brian PAX,Brian,PAX,173.4947924344936
Johnny PARKER,Johnny,PARKER,175.2061748040509
Eli ZILLMAN,Eli,ZILLMAN,186.95700831956407
Joseph TUMA,Joseph,TUMA,172.97822120729234
Johnny HULCHER,Johnny,HULCHER,172.1879269940696
Roman SCHMERSAL,Roman,SCHMERSAL,178.6664791377089
Justin BAKER,Justin,BAKER,179.14577502691378
Clint GILL,Clint,GILL,178.53151509852162
Todd SMITH,Todd,SMITH,165.41494313541168
Adrian JOHNSON,Adrian,JOHNSON,177.9744705538465
Russell SHORTEN,Russell,SHORTEN,177.08095740884826
Tony REIS,Tony,REIS,181.74524599954418
Lloyd MARON,Lloyd,MARON,175.27106339028862
Dallas MURPHY,Dallas,MURPHY,172.7041547670259
Spencer NEWMAN,Spencer,NEWMAN,178.46500686959547
William HERRERA,William,HERRERA,176.02940957495017
Levi BECK,Levi,BECK,167.49558494876294
Albert ZIRNGIBL,Albert,ZIRNGIBL,187.29084487414542
Thomas BUNTING,Thomas,BUNTING,169.91161462612132
Levi RAST,Levi,RAST,187.69873288339028
James STRAMEL,James,STRAMEL,177.32347073930194
Eddie BREWER,Eddie,BREWER,172.0826797015741
Tom PERSON,Tom,PERSON,166.78958171942526
Lawrence JOHNSON,Lawrence,JOHNSON,176.39526044281752
Dominick SPURLOCK,Dominick,SPURLOCK,188.6394189417019
Andrew SUIRE,Andrew,SUIRE,178.6430698230696
Kyle SANDERS,Kyle,SANDERS,174.33638305159292
David BAKER,David,BAKER,170.25424893862947
Kevin SANDERS,Kevin,SANDERS,180.31069317809377
Daniel BERRY,Daniel,BERRY,180.80188456921383
Charles MCQUAID,Charles,MCQUAID,175.17958408898093
David SCOTT,David,SCOTT,169.30810742774102
Jack WALL,Jack,WALL,183.10158707795068
Dale MCMEEN,Dale,MCMEEN,173.33525302358757
Richard WEAVER,Richard,WEAVER,167.34106986202448
Richard PATTON,Richard,PATTON,173.09151309238004
Herschel CANADAY,Herschel,CANADAY,177.46488214915055
Oscar QUATTROCCHI,Oscar,QUATTROCCHI,172.57585433712745
Ulysses CUMMINGS,Ulysses,CUMMINGS,192.51141853086708
Willie THOMPSON,Willie,THOMPSON,180.42346882082512
Jerry DIAZ,Jerry,DIAZ,190.45006196902935
Darrell MCRAE,Darrell,MCRAE,182.80274604347184
Marion SAYEGH,Marion,SAYEGH,159.93394661453175
Robert MOORES,Robert,MOORES,187.4889574101052
Phillip CHANDLER,Phillip,CHANDLER,184.32791501067183
Stephen SIMMONS,Stephen,SIMMONS,174.530399566399
Santiago MACKO,Santiago,MACKO,169.62000392713594
Louis BIGLEY,Louis,BIGLEY,181.42734650186995
Franklin HESTER,Franklin,HESTER,171.2468651082571
Denis BOLDEN,Denis,BOLDEN,179.01307031046372
Howard BEASLEY,Howard,BEASLEY,163.5520851357594
Don SCHUMACHER,Don,SCHUMACHER,164.53522631882873
William PLUMB,William,PLUMB,181.35777583879988
Ray MARTINEZ,Ray,MARTINEZ,194.64346259766558
William BROOKOVER,William,BROOKOVER,172.6752677582806
Robb LANDER,Robb,LANDER,182.01640047890092
Jerry MCDOUGAL,Jerry,MCDOUGAL,168.18381605143423
Joe HOUGH,Joe,HOUGH,177.57186249752252
Jacob THOMAS,Jacob,THOMAS,181.6862033538966
Gordon HEGGE,Gordon,HEGGE,174.01936121321657
Larry DALLUGE,Larry,DALLUGE,168.25672557524058
Shane ARELLANO,Shane,ARELLANO,161.8467127422294
Ulises HARRISON,Ulises,HARRISON,176.87944829176234
Arnold GUTHRIE,Arnold,GUTHRIE,162.9191116437812
Lee WILDER,Lee,WILDER,183.39599211220852
Charles WINK,Charles,WINK,172.56326523039675
Carter BROWN,Carter,BROWN,177.49654875985058
Alexander BUTTRY,Alexander,BUTTRY,179.08602691173218
Brandon CANALES,Brandon,CANALES,170.0874181772576
Eddie NELSON,Eddie,NELSON,166.7302962162154
Allen DAVIS,Allen,DAVIS,179.10585526002703
Mark CORTRIGHT,Mark,CORTRIGHT,194.22179357156364
William SHERMAN,William,SHERMAN,177.7508966623401
George BLOCKER,George,BLOCKER,178.39889409411032
Clayton HALL,Clayton,HALL,182.12500168545043
Jake CHAPA,Jake,CHAPA,172.42672132224305
James KNAUB,James,KNAUB,164.50132956233875
Nicholas STERN,Nicholas,STERN,172.50252509701986
Thomas GIAQUINTO,Thomas,GIAQUINTO,181.8794003353967
Robert HUNT,Robert,HUNT,183.10966296532635
Michael JUDKINS,Michael,JUDKINS,184.32661329234872
John SNIDER,John,SNIDER,187.30170961621985
Billy MURPHY,Billy,MURPHY,167.4464771290085
Joshua MOORE,Joshua,MOORE,182.2376303189057
Raymond ABELL,Raymond,ABELL,171.7469640421999
James MAHAN,James,MAHAN,171.9722839782342
Karl MOLINA,Karl,MOLINA,175.64267145999202
Corey WILSON,Corey,WILSON,190.86289508660056
Martin LITTLE,Martin,LITTLE,171.16286929079615
Marc LASOTA,Marc,LASOTA,187.14521235062548
Charles TEED,Charles,TEED,188.24831164757327
Timothy DANZA,Timothy,DANZA,179.24725526509104
Michael PLATTER,Michael,PLATTER,190.14278218136673
Oscar DAMBRA,Oscar,DAMBRA,170.63150606901758
Chester ENGEL,Chester,ENGEL,186.56899124334743
William TAYLOR,William,TAYLOR,168.8002470219229
Travis MOORE,Travis,MOORE,167.65195599748037
Benjamin LE,Benjamin,LE,191.68401678298446
Guy MAYI,Guy,MAYI,199.95940662415467
Samuel SHARP,Samuel,SHARP,177.76351586838615
Christopher ORTEGA,Christopher,ORTEGA,187.06183808226223
Leon SMITH,Leon,SMITH,185.53285297558557
William ROBERTSON,William,ROBERTSON,185.28776245588534
Steve CHERRY,Steve,CHERRY,185.76926968072115
John WINTERBERG,John,WINTERBERG,179.9473362258603
Earl TINDALL,Earl,TINDALL,179.61822995243952
Joe TERCERO,Joe,TERCERO,169.84007477792983
Joe TAM,Joe,TAM,169.48249127722838
Carlton COLLINS,Carlton,COLLINS,182.2022179243733
Anthony ASH,Anthony,ASH,180.20647782427437
Robert HALSTEAD,Robert,HALSTEAD,179.15626375508933
Jeffrey VALLEE,Jeffrey,VALLEE,182.57333778952983
Brent SIMON,Brent,SIMON,198.05024873557954
Paul JONES,Paul,JONES,187.54691796890017
Christopher WILLIAMSON,Christopher,WILLIAMSON,182.87556275100295
John WHITE,John,WHITE,183.81839152376182
Douglas SMITH,Douglas,SMITH,179.57832646788168
Carl REGISTER,Carl,REGISTER,162.36598556469613
Larry HALPERIN,Larry,HALPERIN,170.55571836716618
George DEMARCO,George,DEMARCO,177.1908310083859
Michael TESSMANN,Michael,TESSMANN,182.93976980826403
Cletus HOLLIDAY,Cletus,HOLLIDAY,168.46015347255118
Michael MCFADDEN,Michael,MCFADDEN,184.02864583447794
Raymond SEVERY,Raymond,SEVERY,184.3435548166738
Elmer NEWMAN,Elmer,NEWMAN,168.03373600796792
James URGO,James,URGO,170.15223102452924
Byron PRINCE,Byron,PRINCE,184.29664970476176
Jack SAUCEDA,Jack,SAUCEDA,177.36684335127964
Ray PRICE,Ray,PRICE,179.41052962016272
Nathaniel WILLIAMS,Nathaniel,WILLIAMS,177.07537708862327
Christopher JOHNSTON,Christopher,JOHNSTON,172.37707585983563
Robert PARKER,Robert,PARKER,172.12826145950405
William LEONARD,William,LEONARD,186.1271593595034
John HAIR,John,HAIR,179.91406038700123
Paul ROSENBERGER,Paul,ROSENBERGER,167.25456361712577
Joseph PEARL,Joseph,PEARL,178.9828897834909
Joshua WRIGHT,Joshua,WRIGHT,162.5991265081372
Wendell HOFFMAN,Wendell,HOFFMAN,168.92759493851472
Alan THROWER,Alan,THROWER,175.67072355423377
Claudio PERRY,Claudio,PERRY,178.11588301727141
Donald PHILLIPP,Donald,PHILLIPP,180.744384673125
Earl SICO,Earl,SICO,182.0811138874645
Warren QUICK,Warren,QUICK,168.21537806891374
Walter BALOUGH,Walter,BALOUGH,186.7081875900154
Alexander SMITH,Alexander,SMITH,165.657808355872
Lewis ROSE,Lewis,ROSE,174.87079864947546
James DAVIS,James,DAVIS,183.45580142454057
Clinton CERDA,Clinton,CERDA,177.21575159389525
Martin BROWN,Martin,BROWN,184.9521681980645
James QUINTANA,James,QUINTANA,180.21542604563996
Mark ALEXANDER,Mark,ALEXANDER,161.46952381317598
Charles GOATCHER,Charles,GOATCHER,177.6772256681624
Adolph HARRIS,Adolph,HARRIS,178.45294372790624
Fred SIMON,Fred,SIMON,187.12658103993758
Agustin HORTON,Agustin,HORTON,164.71158108245425
David BROOKER,David,BROOKER,183.81036926443142
Thomas MARKS,Thomas,MARKS,182.70801461779845
William HUGHES,William,HUGHES,161.86370630459297
Michael ROTHOVE,Michael,ROTHOVE,186.6064133041765
Marvin CAIN,Marvin,CAIN,178.2804513252543
Daniel PRESLAR,Daniel,PRESLAR,160.906822580231
Ronny CARTAGENA,Ronny,CARTAGENA,185.77902625975585
Willis HENSLEY,Willis,HENSLEY,178.3803981245815
William SHELTON,William,SHELTON,180.63796170536378
Daniel HOLM,Daniel,HOLM,184.2099244226989
Walter MCCOLGAN,Walter,MCCOLGAN,175.3371138680981
Matthew CRAVENS,Matthew,CRAVENS,178.13792876820284
Simon AHMED,Simon,AHMED,182.91623707438632
Liam TENNYSON,Liam,TENNYSON,171.7935694617866
Jeffrey CROWNOVER,Jeffrey,CROWNOVER,183.93007374446842
Andrew WILLIAMS,Andrew,WILLIAMS,181.26920189126508
Orin NWACHUKWU,Orin,NWACHUKWU,184.98532421007263
Reed RUSSELL,Reed,RUSSELL,167.53230691796256
Micheal ZAPATA,Micheal,ZAPATA,175.87651227074386
Arthur SKLAR,Arthur,SKLAR,171.18124466561397
Derek QUINN,Derek,QUINN,172.86318030479185
Jameson CARTER,Jameson,CARTER,193.779267688342
James BARKER,James,BARKER,162.83884513814405
Eugene DOMINGUEZ,Eugene,DOMINGUEZ,179.3987859272624
Thomas DAVIS,Thomas,DAVIS,172.82244116338762
William GONZALEZ,William,GONZALEZ,190.14279904705506
Denver SALAZAR,Denver,SALAZAR,187.75282038981786
Alexander MARSHALL,Alexander,MARSHALL,182.7645434534411
Liam JONES,Liam,JONES,171.004043767314
Keith WILLIAM,Keith,WILLIAM,174.08329598801637
Allen SPINDLER,Allen,SPINDLER,183.20422536089603
Timothy LEE,Timothy,LEE,174.7714591389106
Ronald TURNAGE,Ronald,TURNAGE,166.15193241956118
Frank SHEAFFER,Frank,SHEAFFER,172.5911204919717
Peter SIRIANNI,Peter,SIRIANNI,187.1630751498593
Casey PENGELLY,Casey,PENGELLY,178.69584992963837
Alexander THOMISON,Alexander,THOMISON,171.52201185578727
George RATHKE,George,RATHKE,184.42998461467565
Scott SEABERG,Scott,SEABERG,163.0123572229857
Clarence CHASTAIN,Clarence,CHASTAIN,176.82677767951486
Harold KNOPP,Harold,KNOPP,173.08679101019152
Jose RAINWATER,Jose,RAINWATER,162.9957173273376
Vern BOROWSKI,Vern,BOROWSKI,194.1622831231484
Charlie BRIX,Charlie,BRIX,188.3024796372547
Allan SWANER,Allan,SWANER,182.25890463396755
Kasey POWELL,Kasey,POWELL,177.0313811998478
Robert FLEMING,Robert,FLEMING,174.9277320052963
Arthur SELBY,Arthur,SELBY,172.95812874993806
Robert PETRIE,Robert,PETRIE,189.6517675983595
Roscoe EICK,Roscoe,EICK,182.5479310430824
Teddy BELL,Teddy,BELL,183.38294903776261
Colten QUICK,Colten,QUICK,172.05115392943776
James ADKINS,James,ADKINS,181.35279994644762
Donald NICHOLAS,Donald,NICHOLAS,179.0409418519413
Mark MEEHAN,Mark,MEEHAN,187.09669968403486
Tom GILFORD,Tom,GILFORD,173.4769619620567
Rudolph LEISEY,Rudolph,LEISEY,178.52288868591697
Garrett FRAZIER,Garrett,FRAZIER,188.42245724674524
Donald GROBE,Donald,GROBE,174.25299222105622
William SAVAGE,William,SAVAGE,193.02582236953464
Joseph READER,Joseph,READER,172.6556991487534
James CYMAN,James,CYMAN,180.14309220988096
Mark DYKSTRA,Mark,DYKSTRA,177.5763113946185
Steve MORENO,Steve,MORENO,177.34768116517637
Arnold HESLIN,Arnold,HESLIN,182.7278166435593
John PRATT,John,PRATT,177.30301169792895
Thomas SMITH,Thomas,SMITH,182.3909491496225
James CHANDLER,James,CHANDLER,175.69311334252333
Robert ROLISON,Robert,ROLISON,171.44167945567145
Antonio MAGARGAL,Antonio,MAGARGAL,194.0070208412071
Jeffery KARWOWSKI,Jeffery,KARWOWSKI,167.3761918426117
Edward INSKEEP,Edward,INSKEEP,170.60944843037657
Andy CAMPBELL,Andy,CAMPBELL,189.14121509337372
George AKAMINE,George,AKAMINE,171.26230393767048
Lloyd COX,Lloyd,COX,183.11945612074402
John ANIMASHAUN,John,ANIMASHAUN,161.23211726839907
Gordon MALDONADO,Gordon,MALDONADO,178.62181515880002
Nicholas ARENA,Nicholas,ARENA,169.21476217707428
Jerry COMER,Jerry,COMER,171.87259538836872
Curtis JONES,Curtis,JONES,165.50469346616856
Bill ALLEN,Bill,ALLEN,175.94319716675227
Gary LYON,Gary,LYON,174.53742417842716
Curtis PATTERSON,Curtis,PATTERSON,179.3331734535709
Frank GALVIN,Frank,GALVIN,194.22065140695955
Sammy BROXTERMAN,Sammy,BROXTERMAN,177.7461810518124
Edward MORENO,Edward,MORENO,191.47206529015074
Gus STRAYHORN,Gus,STRAYHORN,174.64834033553737
Adrian MILLS,Adrian,MILLS,177.6454072276578
Ronald ZELLER,Ronald,ZELLER,166.92290274532138
George YOUNG,George,YOUNG,168.4671252577031
Gerald WILLENS,Gerald,WILLENS,182.6403954486327
Terrence ERVIN,Terrence,ERVIN,181.90919616321932
Timothy PARKS,Timothy,PARKS,177.4248834377793
Jake NANCE,Jake,NANCE,178.41728678836913
Randy MOBBS,Randy,MOBBS,190.48572719196082
Raymond BROWN,Raymond,BROWN,180.20379510268066
James STATON,James,STATON,173.98058268773275
Ronald MCCARTY,Ronald,MCCARTY,186.33548853017143
Randy MARSZALEK,Randy,MARSZALEK,177.29910740395306
Thomas RYAN,Thomas,RYAN,174.9981120630275
Gage WASHINGTON,Gage,WASHINGTON,164.39473720055904
Arthur KUNKEL,Arthur,KUNKEL,181.2724153234682
Joshua AHMADI,Joshua,AHMADI,187.0124300363786
Charles FISCHER,Charles,FISCHER,186.00083624492572
Angelo ENEA,Angelo,ENEA,186.1964287168731
Earl KENNY,Earl,KENNY,174.67687588611417
Ricardo DEES,Ricardo,DEES,161.62504706818416
Robert LARSEN,Robert,LARSEN,183.50014139927436
Robert RAPPAPORT,Robert,RAPPAPORT,194.01748233179805
Robert SAUCEDO,Robert,SAUCEDO,166.34182889911867
Brandon MENDOZA,Brandon,MENDOZA,198.04142321250086
Matthew WELLS,Matthew,WELLS,196.66948741921237
Arthur ROUNTREE,Arthur,ROUNTREE,188.36964940273614
Charles HUBBARD,Charles,HUBBARD,180.97240586598858
Mark WALBURG,Mark,WALBURG,171.9243779561319
Eugene JOHNSON,Eugene,JOHNSON,178.4915352396531
Blaine NORRIS,Blaine,NORRIS,173.25140966262177
David BURKES,David,BURKES,170.0777220713879
Oscar ZIEGLER,Oscar,ZIEGLER,181.9311359823294
Elmer JOHNSON,Elmer,JOHNSON,168.56519508255226
Robert GREEN,Robert,GREEN,169.42217861591712
John RUTLEDGE,John,RUTLEDGE,177.08122564129152
Casey DANTO,Casey,DANTO,171.3256238361227
James PARSLEY,James,PARSLEY,162.4719952218484
Albert PAGE,Albert,PAGE,173.69225365626946
Robert FARMER,Robert,FARMER,167.78706046135244
Jack GIBBS,Jack,GIBBS,167.1553032953522
Charles FINN,Charles,FINN,175.77799711786497
Robert PETERS,Robert,PETERS,183.23066767168498
Clarence HOWELL,Clarence,HOWELL,166.31629536318036
Thomas FORD,Thomas,FORD,164.192923588419
Stephen DIETRICH,Stephen,DIETRICH,180.58585387870903
Matthew JIMENEZ,Matthew,JIMENEZ,183.6278247180248
George HUNTER,George,HUNTER,182.87653626273055
Byron MURRAY,Byron,MURRAY,163.0142975846688
Cecil BOCK,Cecil,BOCK,179.32736494740084
Mark BREITINGER,Mark,BREITINGER,171.57407935423583
Phillip STUART,Phillip,STUART,175.81461328841337
Don MCNIGHT,Don,MCNIGHT,179.07276907417244
James SELINSKY,James,SELINSKY,190.7298355124848
Jonathon HOCHMAN,Jonathon,HOCHMAN,176.6778848509794
Robert KEPPEL,Robert,KEPPEL,175.9575376726402
Edwin GUIN,Edwin,GUIN,164.07390885502957
Clifford WORTHY,Clifford,WORTHY,178.77392675001073
Frank DUDZINSKI,Frank,DUDZINSKI,184.03594676963726
Brett KELLY,Brett,KELLY,170.72765696225375
Walter MOORE,Walter,MOORE,171.56463886901724
Jason VANCE,Jason,VANCE,174.69705225947914
James MARTIN,James,MARTIN,181.37790198953377
Sanford ARMOUR,Sanford,ARMOUR,188.63749311115248
Larry HAWKINS,Larry,HAWKINS,186.61785986729743
John MCDONALD,John,MCDONALD,168.87527012682528
James FIELDS,James,FIELDS,188.56942219470344
Terry JOHNSON,Terry,JOHNSON,176.58129758470506
Mickey BOYD,Mickey,BOYD,188.92525326713763
John STILES,John,STILES,173.56082051477895
Joseph FULLER,Joseph,FULLER,173.2206066888489
Lee WHITE,Lee,WHITE,184.90744510161755
Alton MCAULIFFE,Alton,MCAULIFFE,176.36945653216745
Gary SCHEIN,Gary,SCHEIN,160.63599725207987
David ENDO,David,ENDO,173.90605832819926
Everett SORIANO,Everett,SORIANO,176.20507941985488
John DOLAN,John,DOLAN,175.56438085086944
Wyatt CHU,Wyatt,CHU,192.15617430403734
Keshawn WILLIAMS,Keshawn,WILLIAMS,182.8425095448371
Clifford NISHIZAWA,Clifford,NISHIZAWA,170.3079407116293
Joseph FECTEAU,Joseph,FECTEAU,181.25140214387
John ARNOLD,John,ARNOLD,171.42958745945646
Tucker SMITH,Tucker,SMITH,183.63926022445648
Daniel BIBB,Daniel,BIBB,171.8770720990211
Leo HALSTEAD,Leo,HALSTEAD,184.28567825131574
James HALL,James,HALL,186.01463547432718
Johnny CANOVA,Johnny,CANOVA,178.449369287522
William LITTLE,William,LITTLE,181.51587438835665
Barry FRITTS,Barry,FRITTS,171.18194721593986
Nicholas OGBORN,Nicholas,OGBORN,193.30652452699212
Anthony WHITING,Anthony,WHITING,164.75061240880692
Curtis SIMONETTA,Curtis,SIMONETTA,182.83975658311456
Robert WILLS,Robert,WILLS,178.87523323943302
Damien MODINE,Damien,MODINE,181.85097990777396
Jack SANFORD,Jack,SANFORD,181.4011425971557
John STOWE,John,STOWE,175.48709476877042
Rico GEORGE,Rico,GEORGE,180.4559045225038
Joe ADAMS,Joe,ADAMS,184.78152805010993
William SCOFIELD,William,SCOFIELD,180.2246590271277
Lee PIARULLI,Lee,PIARULLI,194.51636501638646
Bennett UNG,Bennett,UNG,169.33213617517328
Cody PEACH,Cody,PEACH,191.12759357623247
Jackie WEDIG,Jackie,WEDIG,163.39147416942782
Roderick ESPINOZA,Roderick,ESPINOZA,175.77664923623882
Henry MURPHY,Henry,MURPHY,174.3150369415887
John FEULING,John,FEULING,182.88054021956174
Wesley MICKELSON,Wesley,MICKELSON,166.85502620820452
Francis MATHIAS,Francis,MATHIAS,175.2248886742582
Anthony DAVIS,Anthony,DAVIS,176.37255336841207
George BROWN,George,BROWN,170.48570533397537
Charles MACIAS,Charles,MACIAS,171.32349310514232
Devon RINEHART,Devon,RINEHART,181.58293661483307
Gilbert LUCAS,Gilbert,LUCAS,160.96524984782752
Morris BECKER,Morris,BECKER,183.00053761729995
George CRANE,George,CRANE,167.3382087626536
Antonio CARGO,Antonio,CARGO,190.71096432599288
Clarence SULC,Clarence,SULC,177.6264185422003
Charles CARGILE,Charles,CARGILE,177.63216280491224
Roy BURNS,Roy,BURNS,173.52291684109593
James CREE,James,CREE,177.3174102554801
Edward ALDANA,Edward,ALDANA,171.89519198268312
Tyler WILLIAMS,Tyler,WILLIAMS,173.08875727688388
James COLON,James,COLON,180.48570417101774
Franklin DENK,Franklin,DENK,168.47737319718155
Philip STONE,Philip,STONE,184.05743876932982
Dakota KALAF,Dakota,KALAF,179.34693214314746
Jose DOBSON,Jose,DOBSON,183.98808251371395
Kameron PAYNE,Kameron,PAYNE,180.3990206444466
Clinton LI,Clinton,LI,176.88424452367914
Hugh FURGAL,Hugh,FURGAL,178.20316128177924
Eric LOHMAN,Eric,LOHMAN,185.10845318661626
Curtis PECK,Curtis,PECK,179.45499063471362
Earl WAGNER,Earl,WAGNER,187.4749296285792
Alan RUGGIERI,Alan,RUGGIERI,188.26482101561686
Joseph KUNTZ,Joseph,KUNTZ,180.29141892352962
Henry RAYBURN,Henry,RAYBURN,183.59276768159793
Melvin HERRING,Melvin,HERRING,164.2720535059785
Ray YANG,Ray,YANG,180.72563783301942
